general_cap_classification,summary,label
CIVIL RIGHTS COMPLAINT,"while in the confines of , they were stopped by police, because of their tags. The complainant states that they were racially profiled because they were driving a luxury car. The complainantÂ¿s vehicle was searched without their permission.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , they were treated unprofessionally by an unknown officer. Police stopped them. The complainant states that the officer attempted to hit them with their patrol car, after accusing them of trying to go around other vehicles. The complainant states that the officer disrespected them, went over their loud speaker and made an inappropriate comment.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , departmental policies were violated and an improper ticket was issued by two  officers. They were stopped by police. The complainant was asked to exit their vehicle and placed in the back of a patrol car. Officers proceeded to search their vehicle without their permission. The complainant was also searched by an officer. The complainant states that they were not allowed to answer a call that they received on their cell phone. The complainant was told that they would be getting tickets in the mail.",medium
HARASSMENT,they were harassed by an off-duty  officer. The officer has threatened to catch them face to face. The complainant states that they are dating the officerÂ¿s ex-spouse. The officer has accused them of playing on the phone.,high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  officer. They went to  to add information to a prior report. The officer told the complainant that the officer who took the initial report is the only one who could amend it or add to the report. The officer told the complainant to call the next day or come to the district so they could speak to the officer. The complainant called the district the following day and spoke to the officer who told them that the officer could have added to the report instead of telling them to come back. The complainant went to the district and spoke to the officer, who again told them that they could not add to the report. The complainant requested a supervisor, but the officer refused.",low
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an unknown  officer. They went to  to look for their child who was taken into custody after they were involved in an auto accident. An officer redirected the complainant to  to see if there child was there. When they arrived at , they noticed the building was closed down and was no longer at the same location.",low
CIVIL RIGHTS COMPLAINT,"while in the confines of , their civil rights were violated by a sergeant assigned to External Services. While doing freelance journalism work, they were approached by a sergeant. The sergeant said, Â¿We donÂ¿t want any problems here today. We know who you are and what you do. YouÂ¿re not a journalist. DonÂ¿t bring attention to yourself or you will end up in handcuffs. You wouldnÂ¿t want your business out there.Â¿ The complainant states that the sergeant works for a public figure and in the past, they were removed from a press conference, violating their 1st amendment right.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , they were verbally abused by two  officers. They went to  to report a crime in progress. The complainant approached the window and attempted to speak to an officer. The officer told them to wait. The complainant waited 5 minutes and asked for help. The officer said, ""Didn't I say wait?"" The officer said that they were not going to help them. The officer approached and asked what they wanted. The complainant explained that they witnessed criminals confess to crimes. An officer asked the complainant why they didn't call 911 if it was such an emergency. They exchanged words. The officer proceeded to shut the window in their face. The complainant touched the window. The officer said, ""Don't you ever put your hand on this window."" The officer then shut the window in their face.",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from an unknown  officer. They were involved in an auto accident. The complainant was transported to the hospital by ambulance. A few days later, the complainant received a district control number from  in reference to the accident. When the complainant went to the district to get more information from the report, they were informed that there was no report. The complainant also states that their bicycle was inside of the vehicle at the time, and now it is missing.",low
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  officer. Police responded over a landlord tenant issue. The officer was not helpful and refused to take their report. The complainant states that the officer walked away from them in the middle of their conversation.",low
