complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,label
22-0529,2022-11-09 05:00:00+00,1200.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-6-22 at 8:40 PM, while in the confines of the 12th District, they were stopped by police, because of their tags. The complainant states that they were racially profiled because they were driving a luxury car. The complainantÂ¿s vehicle was searched without their permission.",11/06/2022,8:40 PM,7015,low
22-0530,2022-11-10 05:00:00+00,2400.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-6-22 at 8:30 PM, while in the confines of the 24th District, they were treated unprofessionally by an unknown officer. Police stopped them. The complainant states that the officer attempted to hit them with their patrol car, after accusing them of trying to go around other vehicles. The complainant states that the officer disrespected them, went over their loud speaker and made an inappropriate comment.",11/06/2022,8:30 PM,7016,medium
22-0531,2022-11-10 05:00:00+00,3900.0,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-2-22 at 9:57 PM, while in the confines of the 39th District, departmental policies were violated and an improper ticket was issued by two 39th District officers. They were stopped by police. The complainant was asked to exit their vehicle and placed in the back of a patrol car. Officers proceeded to search their vehicle without their permission. The complainant was also searched by an officer. The complainant states that they were not allowed to answer a call that they received on their cell phone. The complainant was told that they would be getting tickets in the mail.",11/02/2022,9:57 PM,7017,medium
22-0532,2022-11-09 05:00:00+00,2200.0,HARASSMENT,"According to the complainant, on 10-21-22, they were harassed by an off-duty 22nd District officer. The officer has threatened to catch them face to face. The complainant states that they are dating the officerÂ¿s ex-spouse. The officer has accused them of playing on the phone.",10/21/2022,,7018,high
22-0533,2022-11-10 05:00:00+00,2200.0,LACK OF SERVICE,"According to the complainant, on 10-30-22, while in the confines of the 22nd District, they did not receive proper service from a 22nd District officer. They went to the 22nd District to add information to a prior report. The officer told the complainant that the officer who took the initial report is the only one who could amend it or add to the report. The officer told the complainant to call the next day or come to the district so they could speak to the officer. The complainant called the district the following day and spoke to the officer who told them that the officer could have added to the report instead of telling them to come back. The complainant went to the district and spoke to the officer, who again told them that they could not add to the report. The complainant requested a supervisor, but the officer refused.",10/30/2022,,7019,low
22-0534,2022-11-10 05:00:00+00,2500.0,LACK OF SERVICE,"According to the complainant, on 9-28-22 at 3:30 PM, while in the confines of the 25th District, they did not receive proper service from an unknown 25th District officer. They went to the 25th District to look for their child who was taken into custody after they were involved in an auto accident. An officer redirected the complainant to the 15th District to see if there child was there. When they arrived at the 15th District, they noticed the building was closed down and was no longer at the same location.",09/28/2022,3:30 PM,7020,low
22-0535,2022-11-16 05:00:00+00,600.0,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-7-22 at 10:50 AM, while in the confines of the 6th District, their civil rights were violated by a sergeant assigned to External Services. While doing freelance journalism work, they were approached by a sergeant. The sergeant said, Â¿We donÂ¿t want any problems here today. We know who you are and what you do. YouÂ¿re not a journalist. DonÂ¿t bring attention to yourself or you will end up in handcuffs. You wouldnÂ¿t want your business out there.Â¿ The complainant states that the sergeant works for a public figure and in the past, they were removed from a press conference, violating their 1st amendment right.",11/07/2022,10:50 AM,7021,low
22-0536,2022-11-10 05:00:00+00,1400.0,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-6-22 at 12:45 PM, while in the confines of the 14th District, they were verbally abused by two 14th District officers. They went to the 14th District to report a crime in progress. The complainant approached the window and attempted to speak to an officer. The officer told them to wait. The complainant waited 5 minutes and asked for help. The officer said, ""Didn't I say wait?"" The officer said that they were not going to help them. The officer approached and asked what they wanted. The complainant explained that they witnessed criminals confess to crimes. An officer asked the complainant why they didn't call 911 if it was such an emergency. They exchanged words. The officer proceeded to shut the window in their face. The complainant touched the window. The officer said, ""Don't you ever put your hand on this window."" The officer then shut the window in their face.",11/06/2022,12:45 PM,7022,medium
22-0537,2022-11-15 05:00:00+00,200.0,LACK OF SERVICE,"According to the complainant, on 7-11-22 at 6:30 PM, while in the confines of the 2nd District, they did not receive proper service from an unknown 2nd District officer. They were involved in an auto accident. The complainant was transported to the hospital by ambulance. A few days later, the complainant received a district control number from the 2nd District in reference to the accident. When the complainant went to the district to get more information from the report, they were informed that there was no report. The complainant also states that their bicycle was inside of the vehicle at the time, and now it is missing.",07/11/2022,6:30 PM,7023,low
22-0538,2022-11-15 05:00:00+00,2200.0,LACK OF SERVICE,"According to the complainant, on 11-5-22 at 4:00 PM, while in the confines of the 22nd District, they did not receive proper service from a 22nd District officer. Police responded over a landlord tenant issue. The officer was not helpful and refused to take their report. The complainant states that the officer walked away from them in the middle of their conversation.",11/05/2022,4:00 PM,7024,low
